Temps[s] ; Tension Generateur[V] ; Courant[A] 
137.15114164352417 ; 0.4301 ; 0.1339 
137.6513476371765 ; 0.4301 ; 0.1339 
138.15158605575562 ; 0.4301 ; 0.1329 
138.65187811851501 ; 0.4301 ; 0.1329 
139.15240907669067 ; 0.4301 ; 0.1329 
139.65301632881165 ; 0.4301 ; 0.1329 
140.1536169052124 ; 0.4301 ; 0.1329 
140.65415263175964 ; 0.4301 ; 0.1329 
141.15476298332214 ; 0.4301 ; 0.1329 
141.65530109405518 ; 0.4301 ; 0.1329 
142.1558394432068 ; 0.4301 ; 0.1329 
142.6564576625824 ; 0.4301 ; 0.1329 
143.15701174736023 ; 0.4301 ; 0.1329 
143.65737748146057 ; 0.4301 ; 0.1329 
144.15792775154114 ; 0.4301 ; 0.1339 
144.6584987640381 ; 0.4311 ; 0.1329 
145.159113407135 ; 0.4301 ; 0.1329 
145.65965223312378 ; 0.4301 ; 0.1329 
146.16017746925354 ; 0.4301 ; 0.1329 
146.6608180999756 ; 0.4301 ; 0.1329 
147.16123461723328 ; 0.4301 ; 0.1329 
147.66132140159607 ; 0.4301 ; 0.1329 
148.16170406341553 ; 0.4301 ; 0.1329 
148.66232442855835 ; 0.4301 ; 0.1329 
149.16286253929138 ; 0.4301 ; 0.1329 
149.66345810890198 ; 0.4301 ; 0.1329 
150.16399097442627 ; 0.4301 ; 0.1329 
150.66436505317688 ; 0.4301 ; 0.1329 
151.16498851776123 ; 0.4301 ; 0.1329 
151.66533660888672 ; 0.4311 ; 0.1329 
152.16590905189514 ; 0.4301 ; 0.1329 
152.66645550727844 ; 0.4301 ; 0.1329 
153.16700887680054 ; 0.4301 ; 0.1329 
153.66762566566467 ; 0.4301 ; 0.1329 
154.16817498207092 ; 0.4301 ; 0.1329 
154.66870403289795 ; 0.4301 ; 0.1329 
155.1692385673523 ; 0.4301 ; 0.1329 
155.66976857185364 ; 0.4301 ; 0.1329 
156.17031407356262 ; 0.4301 ; 0.1329 
156.67085361480713 ; 0.4301 ; 0.1329 
157.17147302627563 ; 0.4301 ; 0.1329 
157.67202019691467 ; 0.4301 ; 0.1329 
158.17255210876465 ; 0.4301 ; 0.1329 
158.67319083213806 ; 0.4301 ; 0.1329 
159.17373061180115 ; 0.4301 ; 0.1329 
159.6742558479309 ; 0.4301 ; 0.132 
160.17478561401367 ; 0.4301 ; 0.1329 
160.67533564567566 ; 0.4301 ; 0.1329 
161.17586755752563 ; 0.4301 ; 0.132 
161.6763985157013 ; 0.4301 ; 0.1329 
162.17703795433044 ; 0.4311 ; 0.132 
162.6772105693817 ; 0.4301 ; 0.1329 
163.17775225639343 ; 0.4311 ; 0.1329 
163.6782968044281 ; 0.4311 ; 0.132 
164.17883205413818 ; 0.4301 ; 0.132 
164.6793692111969 ; 0.4301 ; 0.1329 
165.1799235343933 ; 0.4301 ; 0.132 
165.6804645061493 ; 0.4301 ; 0.1329 
166.18071627616882 ; 0.4291 ; 0.132 
166.6812014579773 ; 0.4301 ; 0.1329 
167.18172526359558 ; 0.4301 ; 0.1329 
167.68226289749146 ; 0.4301 ; 0.1329 
168.1828134059906 ; 0.4301 ; 0.1329 
168.68337106704712 ; 0.4301 ; 0.132 
169.18400931358337 ; 0.4301 ; 0.132 
169.68462467193604 ; 0.4301 ; 0.132 
170.18522334098816 ; 0.4311 ; 0.1329 
170.68577671051025 ; 0.4301 ; 0.1329 
171.18594026565552 ; 0.4301 ; 0.1329 
171.68656492233276 ; 0.4301 ; 0.132 
172.18711686134338 ; 0.4301 ; 0.132 
172.6877565383911 ; 0.4301 ; 0.132 
173.18836855888367 ; 0.4301 ; 0.132 
173.68897223472595 ; 0.4301 ; 0.1329 
174.1892111301422 ; 0.4301 ; 0.132 
174.6898398399353 ; 0.4301 ; 0.1329 
175.19040298461914 ; 0.4301 ; 0.132 
175.69102931022644 ; 0.4301 ; 0.1329 
176.19166612625122 ; 0.4301 ; 0.1329 
176.69229078292847 ; 0.4311 ; 0.1329 
177.19291138648987 ; 0.4301 ; 0.132 
177.6932225227356 ; 0.4301 ; 0.131 
178.19386672973633 ; 0.4301 ; 0.132 
178.69450426101685 ; 0.4301 ; 0.132 
179.19513297080994 ; 0.4301 ; 0.1329 
179.69575452804565 ; 0.4301 ; 0.132 
180.19627618789673 ; 0.4301 ; 0.1329 
180.6968834400177 ; 0.4301 ; 0.1329 
181.19721055030823 ; 0.4301 ; 0.132 
181.69773530960083 ; 0.4301 ; 0.132 
182.1983678340912 ; 0.4301 ; 0.132 
182.69900703430176 ; 0.4301 ; 0.132 
183.1996567249298 ; 0.4301 ; 0.1329 
183.7003037929535 ; 0.4301 ; 0.132 
184.2008559703827 ; 0.4301 ; 0.132 
184.70125555992126 ; 0.4301 ; 0.132 
185.20180773735046 ; 0.4301 ; 0.1329 
185.7025055885315 ; 0.4301 ; 0.1329 
186.202698469162 ; 0.4301 ; 0.132 
186.7033588886261 ; 0.4301 ; 0.132 
187.2039053440094 ; 0.4301 ; 0.132 
187.70455527305603 ; 0.4301 ; 0.132 
188.20512056350708 ; 0.4301 ; 0.132 
188.70569324493408 ; 0.4301 ; 0.132 
189.20636916160583 ; 0.4301 ; 0.132 
189.7069969177246 ; 0.4301 ; 0.132 
190.2075548171997 ; 0.4301 ; 0.132 
190.70821523666382 ; 0.4301 ; 0.132 
191.20889353752136 ; 0.4301 ; 0.132 
191.70955204963684 ; 0.4301 ; 0.132 
192.2102394104004 ; 0.4301 ; 0.1329 
